ParticipantID,SceneName,D0_Dis,D0_Den,D1_Dis,D1_Den,Dis(comparison),Den(comparison),Position,SelectedDoor,ReactTime
10,3Dis_den_6_7I5.6_3,6,7,5.6,3,3,1,0,1,1.513
10,4Dis_den_V_5.6_7I6_3,5.6,7,6,3,5,1,1,1,1.313
10,3Dis_den_4.6_7I6_7,4.6,7,6,7,7,2,0,1,1.447
10,4Dis_den_4.6_3I5.6_3,4.6,3,5.6,3,6,2,0,1,1.434
10,3Dis_den_V_4.6_7I5.6_3,4.6,7,5.6,3,6,1,1,1,1.487
10,5Dis_den_4.6_7I6_7,4.6,7,6,7,7,2,0,1,1.583
10,4Dis_den_4.6_3I4.6_7,4.6,3,4.6,7,4,3,0,0,1.554
10,2Dis_den_5.6_7I5.6_3,5.6,7,5.6,3,4,1,0,1,1.298
10,5Dis_den_6_7I5.6_3,6,7,5.6,3,3,1,0,1,1.136
10,5Dis_den_5.6_7I6_3,5.6,7,6,3,5,1,0,1,1.014
10,2Dis_den_V_4.6_7I6_3,4.6,7,6,3,7,1,1,1,1.116
10,3Dis_den_V_6_3I6_7,6,3,6,7,4,3,1,0,1.061
10,4Dis_den_V_5.6_3I6_3,5.6,3,6,3,5,2,1,1,1.027
10,5Dis_den_V_6_7I5.6_3,6,7,5.6,3,3,1,1,1,0.962
11,Dis_den_V_4.6_3I4.6_7,4.6,3,4.6,7,4,3,1,0,4.359
11,3Dis_den_6_3I6_7,6,3,6,7,4,3,0,0,3.194
11,5Dis_den_V_6_3I6_7,6,3,6,7,4,3,1,0,2.096
11,5Dis_den_5.6_7I6_3,5.6,7,6,3,5,1,0,1,1.416
11,4Dis_den_V_4.6_7I6_7,4.6,7,6,7,7,2,1,1,3.797
11,2Dis_den_4.6_7I6_7,4.6,7,6,7,7,2,0,0,3.061
11,2Dis_den_4.6_3I6_3,4.6,3,6,3,7,2,0,1,3.922
11,Dis_den_V_5.6_7I6_7,5.6,7,6,7,5,2,1,0,2.464
11,Dis_den_V_6_7I5.6_3,6,7,5.6,3,3,1,1,1,2.032
11,2Dis_den_V_4.6_7I5.6_3,4.6,7,5.6,3,6,1,1,1,2.082
11,3Dis_den_V_4.6_7I5.6_7,4.6,7,5.6,7,6,2,1,0,1.599
11,5Dis_den_V_4.6_7I6_7,4.6,7,6,7,7,2,1,1,2.665
11,5Dis_den_4.6_7I5.6_7,4.6,7,5.6,7,6,2,0,0,1.587
